group,variable,value
1973,US,1553264205
1974,US,871092243
1975,US,944272511
1976,US,897290248
1977,US,246198361
1978,US,438452911
1979,US,717779582
1980,US,6864224034
1981,US,8124423748
1982,US,3462490652
1983,US,1091122225
1984,US,2515278485
1985,US,2735617446
1986,US,1334668057
1987,US,1846214071
1988,US,1051167154
1989,US,1065107732
1990,US,1722305682
1991,US,2887003516
1992,US,11399278504
1993,US,4501838784
1994,US,8154319014
1995,US,3392574370
1996,US,4595800488
1997,US,3423306503
1998,US,2460766389
1999,US,7962084321
2000,US,6008166308
2001,US,4136147099
2002,US,4549554512
2003,US,1258474359
2004,US,1328167876
2005,US,1350566958
2006,US,1935937419
2007,US,1006928274
2008,US,1715189257
2009,US,1695864746
2010,US,1517053044
2011,US,1158991620
2012,US,1093496899
2013,US,1059333467
1973,Japan,938965880
1974,Japan,2730202327
1975,Japan,1339039677
1976,Japan,762168614
1977,Japan,1479116934
1978,Japan,1429326640
1979,Japan,1014747194
1980,Japan,1561606522
1981,Japan,2488336515
1982,Japan,1471338041
1983,Japan,1760860027
1984,Japan,2398904927
1985,Japan,2255951382
1986,Japan,1211102769
1987,Japan,1245051405
1988,Japan,3320238368
1989,Japan,582793544
1990,Japan,2604458951
1991,Japan,4702296751
1992,Japan,2865776832
1993,Japan,2494054534
1994,Japan,2667081144
1995,Japan,2880751774
1996,Japan,3905453074
1997,Japan,10777668538
1998,Japan,4486462107
1999,Japan,8353255750
2000,Japan,1310812373
2001,Japan,1017504389
2002,Japan,2561928262
2003,Japan,2147321397
2004,Japan,2545515962
2005,Japan,2566817614
2006,Japan,2542330417
2007,Japan,3544215397
2008,Japan,4531094069
2009,Japan,2645297987
2010,Japan,3428071506
2011,Japan,2635586602
2012,Japan,4256445621
2013,Japan,2641200097
1973,Germany,562232384
1974,Germany,698168091
1975,Germany,833859928
1976,Germany,639963734
1977,Germany,617148856
1978,Germany,410412482
1979,Germany,787807347
1980,Germany,654031054
1981,Germany,751727169
1982,Germany,853843929
1983,Germany,494657126
1984,Germany,950183614
1985,Germany,1590619838
1986,Germany,539033266
1987,Germany,788040730
1988,Germany,757183394
1989,Germany,3020847013
1990,Germany,3382157543
1991,Germany,323668836
1992,Germany,8552232648
1993,Germany,450749201
1994,Germany,380199578
1995,Germany,3308855279
1996,Germany,474378180
1997,Germany,782428714
1998,Germany,323280491
1999,Germany,530422355
2000,Germany,350983095
2001,Germany,891724108
2002,Germany,744664103
2003,Germany,717917759
2004,Germany,757827603
2005,Germany,846945037
2006,Germany,664320505
2007,Germany,977541315
2008,Germany,1168597647
2009,Germany,1270803240
2010,Germany,866568253
2011,Germany,1400378605
2012,Germany,1519377935
2013,Germany,1582596672
1973,UK,442579189
1974,UK,1405378815
1975,UK,222187891
1976,UK,51613566
1977,UK,860011341
1978,UK,971709388
1979,UK,5012313
1980,UK,168108919
1981,UK,-550943311
1982,UK,775334730
1983,UK,571679920
1984,UK,753538727
1985,UK,1255318
1986,UK,227395004
1987,UK,829894066
1988,UK,80251575
1989,UK,269229353
1990,UK,270402953
1991,UK,270595943
1992,UK,1055458482
1993,UK,407941751
1994,UK,297003626
1995,UK,385163028
1996,UK,934520515
1997,UK,734365792
1998,UK,703712023
1999,UK,847273116
2000,UK,725259608
2001,UK,687651442
2002,UK,650113998
2003,UK,838243526
2004,UK,879595860
2005,UK,822343669
2006,UK,800914880
2007,UK,1019400656
2008,UK,788164298
2009,UK,979674038
2010,UK,435982774
2011,UK,238230871
2012,UK,386497679
2013,UK,490448080
1973,France,247189555
1974,France,367384662
1975,France,192416969
1976,France,183658423
1977,France,168900067
1978,France,97437457
1979,France,25058027
1980,France,243713422
1981,France,156535931
1982,France,446543740
1983,France,164059809
1984,France,367362828
1985,France,212486003
1986,France,296394154
1987,France,254311333
1988,France,274040470
1989,France,469783071
1990,France,586988135
1991,France,75995551
1992,France,220827059
1993,France,246959806
1994,France,242597753
1995,France,184288339
1996,France,310518112
1997,France,181377579
1998,France,218643543
1999,France,195502185
2000,France,526519855
2001,France,621418995
2002,France,534709591
2003,France,507020648
2004,France,596317633
2005,France,275332592
2006,France,464260209
2007,France,401771684
2008,France,246959951
2009,France,443827383
2010,France,479271279
2011,France,385580197
2012,France,1857862442
2013,France,1247092339
